City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Sabang,ID,82.06,overcast clouds,5.8933,95.3214,Hotel Citra
326,Marawi,PH,78.26,broken clouds,7.9986,124.2928,Derogongan Residence
328,Sao Joao Da Barra,BR,76.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
332,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
334,Lethem,GY,79.18,overcast clouds,3.3803,-59.7968,Savannah Inn
340,Sorong,ID,84.54,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
342,Ilhabela,BR,76.96,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
351,Sao Raimundo Nonato,BR,79.61,overcast clouds,-9.0153,-42.6994,Real Hotel
353,Ende,ID,83.68,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
360,Pyapon,MM,78.3,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
361,Davila,PH,76.15,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
373,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
377,Muisne,EC,76.73,broken clouds,0.6,-80.0333,Quinta Samay
384,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
386,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
388,Morondava,MG,79.48,overcast clouds,-20.2833,44.2833,La Case Bambou
389,Satapuala,WS,82.71,overcast clouds,-13.8354,-171.9796,Transit Motel
393,Labuhan,ID,83.05,scattered clouds,-6.8844,112.2051,DoubleFAG
395,Sao Jose Da Coroa Grande,BR,78.55,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
398,Pathein,MM,77.92,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
399,Galle,LK,75.15,scattered clouds,6.0367,80.217,Amangalla
417,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
421,Tha Mai,TH,83.41,broken clouds,12.6214,102.0048,Khowbuysi View Resort
426,Kimbe,PG,86.97,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
432,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
434,Pozo Colorado,PY,87.82,light rain,-23.4923,-58.7972,Hospedaje la Amistad
436,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
439,Balabac,PH,80.65,heavy intensity rain,7.9868,117.0645,Batalla’s Lodging House
443,Kefamenanu,ID,82.96,broken clouds,-9.4467,124.4781,Sokowindo Losmen
445,Porto Belo,BR,78.78,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
452,Luanda,AO,75.51,overcast clouds,-8.8368,13.2343,Hotel Fórum
454,Banda Aceh,ID,81.52,broken clouds,5.5577,95.3222,Sulthan Hotel International
459,Benjamin Constant,BR,75.33,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
462,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
467,Harper,LR,78.66,light rain,4.375,-7.7169,Screensaver
475,Simpang Empat,MY,82.4,few clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
476,Buchanan,LR,78.57,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
483,Passo De Camaragibe,BR,76.55,clear sky,-9.2368,-35.4901,Chácara vovó candinha
489,Paysandu,UY,75.6,overcast clouds,-32.3214,-58.0756,Gran Hotel Paysandú
491,Iquitos,PE,75.24,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
494,Pochutla,MX,78.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
495,Nanakuli,US,79.45,few clouds,21.3906,-158.1547,Camp Pālehua
496,Porto Novo,BJ,76.06,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
497,Fuente De Oro,CO,82.24,overcast clouds,3.4594,-73.6128,Urbanización Casabrava
498,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
501,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
504,Gualaco,HN,82.24,broken clouds,15.05,-86.05,Los encuentros
506,Sinnamary,GF,76.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
513,Sunbury,AU,79.12,few clouds,-37.5833,144.7333,Sunbury Motor Inn
516,Kawalu,ID,78.17,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
523,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
528,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
532,Port Keats,AU,85.8,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
533,Ko Samui,TH,81.66,broken clouds,9.5357,99.9357,The Passage
537,Trairi,BR,75.87,overcast clouds,-3.2778,-39.2689,janelas do mar
542,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
543,Sampit,ID,81.46,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
552,Port Moresby,PG,87.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
556,Port-Gentil,GA,79.43,broken clouds,-0.7193,8.7815,Fengshui Residence
561,Hervey Bay,AU,84.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
564,Kudahuvadhoo,MV,81.55,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
578,Puerto Narino,CO,75.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
581,Coxim,BR,76.39,overcast clouds,-18.5067,-54.76,Hotel Avenida
588,Ca Mau,VN,84.54,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
596,Trat,TH,83.25,broken clouds,12.5,102.5,สวนหนิง-อัศ
599,Manokwari,ID,83.35,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
608,Omboue,GA,77,overcast clouds,-1.5746,9.2618,Hotel Olako
614,Nicoya,CR,80.15,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
615,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
616,Aden,YE,76.24,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
619,Yulara,AU,80.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
625,Victor Harbor,AU,85.8,broken clouds,-35.5667,138.6167,McCracken Country Club
629,Mahibadhoo,MV,81.52,few clouds,3.7833,72.9667,Omadhoo Inn
630,Aborlan,PH,79.39,overcast clouds,9.4352,118.5492,Kevina Transient House
632,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
633,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
635,Kihei,US,83.46,scattered clouds,20.785,-156.4656,Maui Sunset
640,Port Macquarie,AU,75.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
643,Kaeo,NZ,76.32,scattered clouds,-35.1,173.7833,Bushido Lodge
645,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
654,Santa Fe,AR,77.02,broken clouds,-31.6333,-60.7,Conquistador Hotel
662,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
666,Pilar,BR,75.13,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
667,Acajutla,SV,78.8,scattered clouds,13.5928,-89.8275,Laureles
682,Miaga,PH,77.54,overcast clouds,12.2376,123.8167,Magcaraguit Resort
699,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
